dataset,group_var,item_id,test_type,n,rows,columns,statistic,p_value,chi2_for_effect,degrees_freedom,cramers_v,min_expected,holm_p_value
augmented,age_range,a9,Chi-square,251,4,4,41.77349098796121,3.6151313813943727e-06,41.77349098796121,9,0.23553361469087777,0.3386454183266932,0.0006326479917440152
augmented,age_range,a10,Chi-square,251,4,4,29.333027330700304,0.0005693094115054619,29.333027330700304,9,0.19736991557303554,0.398406374501992,0.08673126086282423
augmented,age_range,p1,Chi-square,251,4,4,4.916078456495151,0.8415616631477542,4.916078456495151,9,0.08080010302426563,0.0796812749003984,1.0
augmented,age_range,p2,Chi-square,251,4,4,15.374747746154632,0.08114335679746862,15.374747746154632,9,0.14289153821958972,0.6772908366533864,1.0
augmented,age_range,p3,Chi-square,251,4,4,11.39307812880594,0.24972437045016999,11.39307812880594,9,0.12300508054162523,0.0796812749003984,1.0
augmented,age_range,p4,Chi-square,251,4,4,3.3951565030355986,0.9465510051807677,3.3951565030355986,9,0.06714789629966761,0.099601593625498,1.0
augmented,age_range,p5,Chi-square,251,4,4,15.01452286422689,0.09053783007214843,15.01452286422689,9,0.1412076676295578,0.2788844621513944,1.0
augmented,age_range,p6,Chi-square,251,4,4,46.81794524495657,4.243277021401187e-07,46.81794524495657,9,0.24934960615352844,0.23904382470119523,7.46816755766609e-05
augmented,age_range,p7,Chi-square,251,4,4,51.59077012499116,5.4014558457748254e-08,51.59077012499116,9,0.2617511011327581,0.5976095617529881,9.668605963936938e-06
augmented,age_range,p8,Chi-square,251,4,4,11.481038587374005,0.24417064653811718,11.481038587374005,9,0.12347899901215523,0.11952191235059761,1.0
augmented,age_range,p9,Chi-square,251,4,4,26.344880885366905,0.0017936168257994523,26.344880885366905,9,0.18704695025782395,0.4581673306772908,0.2528999724377228
augmented,age_range,p10,Chi-square,251,4,4,32.122670243287374,0.00018963552343301615,32.122670243287374,9,0.20654197790401788,0.21912350597609562,0.030341683749282585
augmented,gender,k1,Chi-square,251,3,4,26.969024822706658,0.00014675521576944532,26.969024822706658,6,0.231782564092608,0.18326693227091634,0.023774344954650143
augmented,gender,k2,Chi-square,251,3,4,31.555482085548384,1.9851402721520737e-05,31.555482085548384,6,0.2507180210252734,0.2549800796812749,0.0033945898653800458
augmented,gender,k3,Chi-square,251,3,4,14.518224089115032,0.02435369964774058,14.518224089115032,6,0.1700610629090593,0.09561752988047809,1.0
augmented,gender,k4,Chi-square,251,3,4,20.064686934064,0.002696918127104131,20.064686934064,6,0.19992372516684867,0.23904382470119523,0.3694777834132659
augmented,gender,k5,Chi-square,251,3,4,8.404195014229032,0.20996072102693839,8.404195014229032,6,0.12938865611456643,0.02390438247011952,1.0
augmented,gender,k6,Chi-square,251,3,4,9.60282180237504,0.14240551105704696,9.60282180237504,6,0.13830808760287527,0.03187250996015936,1.0
augmented,gender,k7,Chi-square,251,3,4,7.889139433201086,0.24633829671135468,7.889139433201086,6,0.12536114708158874,0.23107569721115537,1.0
augmented,gender,k8,Chi-square,251,3,4,2.9540831629303272,0.8145874390977703,2.9540831629303272,6,0.07671132781149238,0.15139442231075698,1.0
augmented,gender,k9,Chi-square,251,3,4,20.818202985139653,0.0019777947804185026,20.818202985139653,6,0.2036431287197783,0.01593625498007968,0.2749134744781719
augmented,gender,k10,Chi-square,251,3,4,30.886502715263603,2.6645864783438882e-05,30.886502715263603,6,0.24804616070233887,0.18326693227091634,0.004476505283617732
augmented,gender,a1,Chi-square,251,3,4,5.367650472858599,0.49759499904471916,5.367650472858599,6,0.10340469439260234,0.32669322709163345,1.0
augmented,gender,a2,Chi-square,251,3,4,7.349466330582475,0.2897339327851693,7.349466330582475,6,0.12099740152771511,0.199203187250996,1.0
augmented,gender,a3,Chi-square,251,3,4,8.859571040798674,0.18163108946985956,8.859571040798674,6,0.13284783735551436,0.11155378486055777,1.0
augmented,gender,a4,Chi-square,251,3,4,6.325245666971674,0.38775901337442403,6.325245666971674,6,0.11225012681535418,0.2549800796812749,1.0
augmented,gender,a5,Chi-square,251,3,4,4.807842018218043,0.5686846491760937,4.807842018218043,6,0.09786406152558229,0.1752988047808765,1.0
augmented,gender,a6,Chi-square,251,3,4,8.0799999356623,0.23230071848391223,8.0799999356623,6,0.12686850437251057,0.11155378486055777,1.0
augmented,gender,a7,Chi-square,251,3,4,5.040870277472031,0.5385819968833176,5.040870277472031,6,0.1002076556851442,0.13545816733067728,1.0
augmented,gender,a8,Chi-square,251,3,4,10.798553838706642,0.09480549514262106,10.798553838706642,6,0.14666650409591964,0.16733067729083664,1.0
augmented,gender,a9,Chi-square,251,3,4,4.553560345255698,0.6022054908162489,4.553560345255698,6,0.09524094361747372,0.13545816733067728,1.0
augmented,gender,a10,Chi-square,251,3,4,10.030242935953265,0.12338418786871276,10.030242935953265,6,0.14135262154426703,0.1593625498007968,1.0
augmented,gender,p1,Chi-square,251,3,4,7.1213418902950725,0.30977129112693336,7.1213418902950725,6,0.11910474390429675,0.03187250996015936,1.0
augmented,gender,p2,Chi-square,251,3,4,5.864218175499765,0.4385712265571057,5.864218175499765,6,0.10808195738858424,0.27091633466135456,1.0
augmented,gender,p3,Chi-square,251,3,4,17.759066641968356,0.006863369894435391,17.759066641968356,6,0.1880867533263026,0.03187250996015936,0.87851134648773
augmented,gender,p4,Chi-square,251,3,4,5.884382366885622,0.4362656222384008,5.884382366885622,6,0.10826761854253449,0.0398406374501992,1.0
augmented,gender,p5,Chi-square,251,3,4,8.026673860956368,0.23615561880912914,8.026673860956368,6,0.1264491603818217,0.11155378486055777,1.0
augmented,gender,p6,Chi-square,251,3,4,41.83787400300952,1.9793978154768688e-07,41.83787400300952,6,0.2886908008441745,0.09561752988047809,3.5035341333940576e-05
augmented,gender,p7,Chi-square,251,3,4,13.852658568074764,0.031326060299262895,13.852658568074764,6,0.1661172398837734,0.23904382470119523,1.0
augmented,gender,p8,Chi-square,251,3,4,19.679419555563506,0.0031575785180712784,19.679419555563506,6,0.19799502768296556,0.04780876494023904,0.4231155214215513
augmented,gender,p9,Chi-square,251,3,4,15.773352074273111,0.015023584651287105,15.773352074273111,6,0.17725975309774392,0.18326693227091634,1.0
augmented,gender,p10,Chi-square,251,3,4,9.28937673875153,0.157945829921167,9.28937673875153,6,0.13603210848673072,0.08764940239043825,1.0
augmented,professional_experience,k1,Chi-square,251,5,4,23.24149600182418,0.02574429389252473,23.24149600182418,12,0.1756849468043038,1.9243027888446216,1.0
augmented,professional_experience,k2,Chi-square,251,5,4,32.95135904363839,0.0009850800597957152,32.95135904363839,12,0.2091891607412567,2.6772908366533863,0.14677692890956157
augmented,professional_experience,k3,Chi-square,251,5,4,24.435528583656268,0.01773624718625489,24.435528583656268,12,0.1801413366596193,1.00398406374502,1.0
augmented,professional_experience,k4,Chi-square,251,5,4,46.48129404918224,5.731135991573373e-06,46.48129404918224,12,0.24845149656955656,2.50996015936255,0.000997217662533767
augmented,professional_experience,k5,Chi-square,251,5,4,18.110635540895203,0.11237230745264604,18.110635540895203,12,0.15508484393792302,0.250996015936255,1.0
augmented,professional_experience,k6,Chi-square,251,5,4,43.07494265016051,2.1929445481202453e-05,43.07494265016051,12,0.23917449510856906,0.3346613545816733,0.0037060762863232147
augmented,professional_experience,k7,Chi-square,251,5,4,54.98432278419763,1.8216707368424393e-07,54.98432278419763,12,0.27022277658072824,2.4262948207171315,3.242573911579542e-05
augmented,professional_experience,k8,Chi-square,251,5,4,16.68398755230228,0.16187624490385494,16.68398755230228,12,0.1488512343801591,1.5896414342629481,1.0
augmented,professional_experience,k9,Chi-square,251,5,4,23.369255710359344,0.024749721198723273,23.369255710359344,12,0.17616715965595708,0.16733067729083664,1.0
augmented,professional_experience,k10,Chi-square,251,5,4,14.109801925277935,0.29375156880502756,14.109801925277935,12,0.13688724106591293,1.9243027888446216,1.0
augmented,professional_experience,a1,Chi-square,251,5,4,20.7851773613349,0.05361608433296499,20.7851773613349,12,0.166141979000997,3.4302788844621515,1.0
augmented,professional_experience,a2,Chi-square,251,5,4,30.004886561191014,0.002787703509132665,30.004886561191014,12,0.19961745140967055,2.091633466135458,0.37912767724204244
augmented,professional_experience,a3,Chi-square,251,5,4,22.547049514424966,0.031826933462239596,22.547049514424966,12,0.1730403445515809,1.1713147410358566,1.0
augmented,professional_experience,a4,Chi-square,251,5,4,14.025669249897366,0.29907208703639876,14.025669249897366,12,0.13647852133596802,2.6772908366533863,1.0
augmented,professional_experience,a5,Chi-square,251,5,4,13.13670177960797,0.3591834441733678,13.13670177960797,12,0.1320826222348153,1.840637450199203,1.0
augmented,professional_experience,a6,Chi-square,251,5,4,10.35216091761185,0.5850956313868603,10.35216091761185,12,0.11725139515086025,1.1713147410358566,1.0
augmented,professional_experience,a7,Chi-square,251,5,4,10.150730635530167,0.6027389853758056,10.150730635530167,12,0.1161050643605161,1.4223107569721116,1.0
augmented,professional_experience,a8,Chi-square,251,5,4,17.505463694427775,0.13155211774498082,17.505463694427775,12,0.15247172770138095,1.7569721115537849,1.0
augmented,professional_experience,a9,Chi-square,251,5,4,38.62044971798564,0.0001215064154616458,38.62044971798564,12,0.22647025819283748,1.4223107569721116,0.019805545720248265
augmented,professional_experience,a10,Chi-square,251,5,4,31.952392374015062,0.0014073849794349084,31.952392374015062,12,0.20599382516956213,1.6733067729083666,0.20266343703862683
augmented,professional_experience,p1,Chi-square,251,5,4,39.145980099773645,9.956133210038122e-05,39.145980099773645,12,0.2280059064138321,0.3346613545816733,0.01632805846446252
augmented,professional_experience,p2,Chi-square,251,5,4,18.7564238037201,0.09457866000632993,18.7564238037201,12,0.15782562958597682,2.8446215139442232,1.0
augmented,professional_experience,p3,Chi-square,251,5,4,26.224141513040315,0.009976563049593441,26.224141513040315,12,0.1866178371667401,0.3346613545816733,1.0
augmented,professional_experience,p4,Chi-square,251,5,4,37.75866337721669,0.00016814952001601707,37.75866337721669,12,0.22392924613337167,0.41832669322709165,0.02707207272257875
augmented,professional_experience,p5,Chi-square,251,5,4,21.92218780486558,0.038401212652641965,21.92218780486558,12,0.17062570502406996,1.1713147410358566,1.0
augmented,professional_experience,p6,Chi-square,251,5,4,43.31772336610891,1.9946652152234703e-05,43.31772336610891,12,0.23984757046904934,1.00398406374502,0.0033945898653800458
augmented,professional_experience,p7,Chi-square,251,5,4,76.80041844806559,1.6759088546079536e-11,76.80041844806559,12,0.31936278364961745,2.50996015936255,3.0166359382943165e-09
augmented,professional_experience,p8,Chi-square,251,5,4,21.27910729893896,0.046439732999839105,21.27910729893896,12,0.16810445157311318,0.50199203187251,1.0
augmented,professional_experience,p9,Chi-square,251,5,4,29.181558500244673,0.003702573857711638,29.181558500244673,12,0.1968596701917406,1.9243027888446216,0.49244232307564784
augmented,professional_experience,p10,Chi-square,251,5,4,40.284402739254915,6.449553399149119e-05,40.284402739254915,12,0.2312975201216294,0.9203187250996016,0.010641763108596046
augmented,work_mode,k1,Chi-square,251,3,4,18.18233571359841,0.005792324091974354,18.18233571359841,6,0.19031498169656577,1.649402390438247,0.7472098078646917
augmented,work_mode,k2,Chi-square,251,3,4,18.77297320843625,0.004564731170664955,18.77297320843625,6,0.1933813873488878,2.2948207171314743,0.5979797833571091
augmented,work_mode,k3,Chi-square,251,3,4,5.1616308505317035,0.5232563504988008,5.1616308505317035,6,0.10140085388392865,0.8605577689243028,1.0
augmented,work_mode,k4,Chi-square,251,3,4,20.814542847837473,0.0019807868356539037,20.814542847837473,6,0.20362522624816523,2.151394422310757,0.2749134744781719
augmented,work_mode,k5,Chi-square,251,3,4,14.682466966224304,0.02287551793140973,14.682466966224304,6,0.1710202975198951,0.2151394422310757,1.0
augmented,work_mode,k6,Chi-square,251,3,4,9.20079518293804,0.16259642387358095,9.20079518293804,6,0.1353819679900122,0.2868525896414343,1.0
augmented,work_mode,k7,Chi-square,251,3,4,30.594228396371633,3.029501946732791e-05,30.594228396371633,6,0.24686975934776131,2.0796812749003983,0.005059268251043761
augmented,work_mode,k8,Chi-square,251,3,4,14.090571018559869,0.02864063722343751,14.090571018559869,6,0.16753765717245897,1.3625498007968126,1.0
augmented,work_mode,k9,Chi-square,251,3,4,6.156973788227227,0.40583764868150907,6.156973788227227,6,0.11074695492137482,0.14342629482071714,1.0
augmented,work_mode,k10,Chi-square,251,3,4,7.297746944716447,0.29418724463132245,7.297746944716447,6,0.12057091071808053,1.649402390438247,1.0
augmented,work_mode,a1,Chi-square,251,3,4,26.303514128862556,0.00019544219792388091,26.303514128862556,6,0.2289048678025661,2.9402390438247012,0.030879867271973185
augmented,work_mode,a2,Chi-square,251,3,4,17.373416181031192,0.008004550721768703,17.373416181031192,6,0.18603332703307332,1.792828685258964,1.0
augmented,work_mode,a3,Chi-square,251,3,4,17.274649867988025,0.008325137656271365,17.274649867988025,6,0.18550378196544168,1.00398406374502,1.0
augmented,work_mode,a4,Chi-square,251,3,4,11.673053018262816,0.06967289071319831,11.673053018262816,6,0.15248965099926656,2.2948207171314743,1.0
augmented,work_mode,a5,Chi-square,251,3,4,12.566871553647612,0.05045354148859128,12.566871553647612,6,0.15822012726769247,1.5776892430278884,1.0
augmented,work_mode,a6,Chi-square,251,3,4,15.711067301114213,0.015391734891288053,15.711067301114213,6,0.17690943110803492,1.00398406374502,1.0
augmented,work_mode,a7,Chi-square,251,3,4,9.729134066031541,0.13653203349024087,9.729134066031541,6,0.13921474473437523,1.2191235059760956,1.0
augmented,work_mode,a8,Chi-square,251,3,4,15.314532634844674,0.017946481897656966,15.314532634844674,6,0.17466263802314602,1.5059760956175299,1.0
augmented,work_mode,a9,Chi-square,251,3,4,19.7371600449516,0.0030839464710891596,19.7371600449516,6,0.1982852790359731,1.2191235059760956,0.4163327735970365
augmented,work_mode,a10,Chi-square,251,3,4,10.01071053067607,0.12420169984194035,10.01071053067607,6,0.14121492287848983,1.4342629482071714,1.0
augmented,work_mode,p1,Chi-square,251,3,4,23.806330563424147,0.000566870986031531,23.806330563424147,6,0.2177681548111406,0.2868525896414343,0.08673126086282423
augmented,work_mode,p2,Chi-square,251,3,4,24.147603947033723,0.0004905933888825102,24.147603947033723,6,0.21932349784562186,2.4382470119521913,0.07555138188790657
augmented,work_mode,p3,Chi-square,251,3,4,15.205302883533069,0.01871863574966085,15.205302883533069,6,0.1740386393165767,0.2868525896414343,1.0
augmented,work_mode,p4,Chi-square,251,3,4,33.9729876259989,6.808678978083217e-06,33.9729876259989,6,0.2601447177156905,0.35856573705179284,0.0011779014632083966
augmented,work_mode,p5,Chi-square,251,3,4,12.790293535163308,0.04648964172494247,12.790293535163308,6,0.15962040089162602,1.00398406374502,1.0
augmented,work_mode,p6,Chi-square,251,3,4,13.722200903352746,0.03289804919084614,13.722200903352746,6,0.16533318348251702,0.8605577689243028,1.0
augmented,work_mode,p7,Chi-square,251,3,4,24.43233060364654,0.0004347574880633183,24.43233060364654,6,0.22061274052548377,2.151394422310757,0.06738741064981434
augmented,work_mode,p8,Chi-square,251,3,4,21.846194932111377,0.001291075106037826,21.846194932111377,6,0.20861044220707511,0.4302788844621514,0.1884969654815226
augmented,work_mode,p9,Chi-square,251,3,4,12.16445361732629,0.058399009715630924,12.16445361732629,6,0.1556662433457654,1.649402390438247,1.0
augmented,work_mode,p10,Chi-square,251,3,4,32.07179528775236,1.5808550096036856e-05,32.07179528775236,6,0.2527608324519791,0.7888446215139442,0.002719070616518339
augmented,previous_treatment,k1,Chi-square,251,2,4,2.4468024865946982,0.48498181990133493,2.4468024865946982,3,0.0987330597017358,4.764940239043825,1.0
augmented,previous_treatment,k2,Chi-square,251,2,4,7.12746778391061,0.06794402838272158,7.12746778391061,3,0.16851197581084776,6.629482071713148,1.0
augmented,previous_treatment,k3,Chi-square,251,2,4,1.2200057226405385,0.748210220294456,1.2200057226405385,3,0.06971786405426517,2.4860557768924303,1.0
augmented,previous_treatment,k4,Chi-square,251,2,4,7.453030422806579,0.05877766279531745,7.453030422806579,3,0.1723175797707076,6.2151394422310755,1.0
augmented,previous_treatment,k5,Chi-square,251,2,4,1.5717071190399863,0.6658219179390072,1.5717071190399863,3,0.07913141822788795,0.6215139442231076,1.0
augmented,previous_treatment,k6,Chi-square,251,2,4,5.8645259512093695,0.11839061252172861,5.8645259512093695,3,0.1528549810243085,0.8286852589641435,1.0
augmented,previous_treatment,k7,Chi-square,251,2,4,7.282758247905529,0.0634110719389314,7.282758247905529,3,0.17033782051918248,6.00796812749004,1.0
augmented,previous_treatment,k8,Chi-square,251,2,4,5.424853692498412,0.14320292541338583,5.424853692498412,3,0.14701347869607184,3.9362549800796813,1.0
augmented,previous_treatment,k9,Chi-square,251,2,4,0.8046955405306911,0.8483435954788701,0.8046955405306911,3,0.05662118268640752,0.41434262948207173,1.0
augmented,previous_treatment,k10,Chi-square,251,2,4,4.129084759518653,0.2478584446003803,4.129084759518653,3,0.12825964638385903,4.764940239043825,1.0
augmented,previous_treatment,a1,Chi-square,251,2,4,5.112759628225677,0.1637241036878016,5.112759628225677,3,0.14272196842748297,8.49402390438247,1.0
augmented,previous_treatment,a2,Chi-square,251,2,4,4.171826553894429,0.24349776163508863,4.171826553894429,3,0.12892177055828155,5.179282868525896,1.0
augmented,previous_treatment,a3,Chi-square,251,2,4,4.5001090522106075,0.21228056035818152,4.5001090522106075,3,0.13389817520619254,2.900398406374502,1.0
augmented,previous_treatment,a4,Chi-square,251,2,4,10.391226354752893,0.015517220343574058,10.391226354752893,3,0.2034681994471532,6.629482071713148,1.0
augmented,previous_treatment,a5,Chi-square,251,2,4,16.137442876513227,0.0010627287022643493,16.137442876513227,3,0.2535598570390162,4.557768924302789,0.1572838479351237
augmented,previous_treatment,a6,Chi-square,251,2,4,17.21735146800934,0.0006375963870629391,17.21735146800934,3,0.26190652105085416,2.900398406374502,0.09627705444650381
augmented,previous_treatment,a7,Chi-square,251,2,4,15.557082110875598,0.0013974785651339348,15.557082110875598,3,0.2489586447911328,3.5219123505976095,0.20263439194442054
augmented,previous_treatment,a8,Chi-square,251,2,4,12.69307964812116,0.00534961493962516,12.69307964812116,3,0.22487783002939554,4.350597609561753,0.6954499421512708
augmented,previous_treatment,a9,Chi-square,251,2,4,15.752694813164737,0.0012743478102766996,15.752694813164737,3,0.25051894198142577,3.5219123505976095,0.18732912811067484
augmented,previous_treatment,a10,Chi-square,251,2,4,15.475555995796793,0.0014522181323047933,15.475555995796793,3,0.24830546022365205,4.143426294820717,0.20766719291958544
augmented,previous_treatment,p1,Chi-square,251,2,4,4.825699475443418,0.1850143460591759,4.825699475443418,3,0.1386574712176584,0.8286852589641435,1.0
augmented,previous_treatment,p2,Chi-square,251,2,4,6.421215851271672,0.0928218786704479,6.421215851271672,3,0.15994540716131456,7.043824701195219,1.0
augmented,previous_treatment,p3,Chi-square,251,2,4,5.671273910080918,0.12874596141404837,5.671273910080918,3,0.150315391005814,0.8286852589641435,1.0
augmented,previous_treatment,p4,Chi-square,251,2,4,2.228814076548814,0.5262952185052161,2.228814076548814,3,0.09423235833177573,1.0358565737051793,1.0
augmented,previous_treatment,p5,Chi-square,251,2,4,4.818941264498817,0.18554549508282098,4.818941264498817,3,0.13856034490888866,2.900398406374502,1.0
augmented,previous_treatment,p6,Chi-square,251,2,4,5.51115831108335,0.1379727479892702,5.51115831108335,3,0.14817829132586322,2.4860557768924303,1.0
augmented,previous_treatment,p7,Chi-square,251,2,4,19.510841746937167,0.00021434266641862025,19.510841746937167,3,0.27880537519709603,6.2151394422310755,0.03365179862772338
augmented,previous_treatment,p8,Chi-square,251,2,4,3.2953831312961874,0.34828574399361056,3.2953831312961874,3,0.11458192029874242,1.2430278884462151,1.0
augmented,previous_treatment,p9,Chi-square,251,2,4,19.72991281378072,0.00019308417845651855,19.72991281378072,3,0.2803662432137431,4.764940239043825,0.03070038437458645
augmented,previous_treatment,p10,Chi-square,251,2,4,14.857667600983316,0.0019424113216988548,14.857667600983316,3,0.2432979548303576,2.2788844621513946,0.27193758503783966
augmented,sample_source,k1,Chi-square,251,2,4,0.4348811609475103,0.9329462434711366,0.4348811609475103,3,0.041624443140096765,9.254980079681275,1.0
augmented,sample_source,k2,Chi-square,251,2,4,1.1336289105073298,0.7689627539837839,1.1336289105073298,3,0.06720453736659962,12.876494023904382,1.0
augmented,sample_source,k3,Chi-square,251,2,4,0.5195323896947521,0.9145797472423558,0.5195323896947521,3,0.04549560592130215,4.828685258964144,1.0
augmented,sample_source,k4,Chi-square,251,2,4,0.07384809845946812,0.9947793261947324,0.07384809845946812,3,0.01715271208033961,12.071713147410359,1.0
augmented,sample_source,k5,Chi-square,251,2,4,4.546412047421812,0.20818761128075125,4.546412047421812,3,0.13458527188386935,1.207171314741036,1.0
augmented,sample_source,k6,Chi-square,251,2,4,1.4437728155054894,0.6953069724386225,1.4437728155054894,3,0.07584248763259782,1.6095617529880477,1.0
augmented,sample_source,k7,Chi-square,251,2,4,2.6362391702764065,0.45117174296296503,2.6362391702764065,3,0.10248387630012648,11.669322709163346,1.0
augmented,sample_source,k8,Chi-square,251,2,4,0.7125605437256058,0.870245681220597,0.7125605437256058,3,0.053281203330901486,7.645418326693227,1.0
augmented,sample_source,k9,Chi-square,251,2,4,2.1877606712890656,0.5343631591022098,2.1877606712890656,3,0.09336047329176952,0.8047808764940239,1.0
augmented,sample_source,k10,Chi-square,251,2,4,2.7838909774689364,0.4261586189480774,2.7838909774689364,3,0.10531476208690811,9.254980079681275,1.0
augmented,sample_source,a1,Chi-square,251,2,4,1.2862604971298515,0.7323982145404407,1.2862604971298515,3,0.0715859190991241,16.49800796812749,1.0
augmented,sample_source,a2,Chi-square,251,2,4,1.2852835034986543,0.7326305855437532,1.2852835034986543,3,0.07155872698952359,10.0597609561753,1.0
augmented,sample_source,a3,Chi-square,251,2,4,3.613267184330694,0.3063661362187606,3.613267184330694,3,0.1199811934853214,5.633466135458168,1.0
augmented,sample_source,a4,Chi-square,251,2,4,0.8272548844633998,0.8429375281630929,0.8272548844633998,3,0.05740937373880048,12.876494023904382,1.0
augmented,sample_source,a5,Chi-square,251,2,4,0.8308747712609093,0.8420688278245219,0.8308747712609093,3,0.057534842077060645,8.852589641434262,1.0
augmented,sample_source,a6,Chi-square,251,2,4,3.087735094308792,0.37829496505620086,3.087735094308792,3,0.11091317975543448,5.633466135458168,1.0
augmented,sample_source,a7,Chi-square,251,2,4,3.276828885245899,0.3508806747540475,3.276828885245899,3,0.11425889532260596,6.840637450199203,1.0
augmented,sample_source,a8,Chi-square,251,2,4,0.5959679988702804,0.8973547844812042,0.5959679988702804,3,0.048727553781111946,8.450199203187251,1.0
augmented,sample_source,a9,Chi-square,251,2,4,0.7213651952376345,0.8681675031839893,0.7213651952376345,3,0.05360937344593272,6.840637450199203,1.0
augmented,sample_source,a10,Chi-square,251,2,4,1.336150229224672,0.7205672676906278,1.336150229224672,3,0.07296100113179692,8.047808764940239,1.0
augmented,sample_source,p1,Chi-square,251,2,4,1.2266268758235406,0.7466254253946876,1.2266268758235406,3,0.06990679269309685,1.6095617529880477,1.0
augmented,sample_source,p2,Chi-square,251,2,4,0.9889530977661438,0.8039249565041642,0.9889530977661438,3,0.0627698349713876,13.681274900398407,1.0
augmented,sample_source,p3,Chi-square,251,2,4,0.7220827370506835,0.8679979825896249,0.7220827370506835,3,0.05363602943533741,1.6095617529880477,1.0
augmented,sample_source,p4,Chi-square,251,2,4,0.029624779023975985,0.9986558584966562,0.029624779023975985,3,0.01086402356696861,2.0119521912350598,1.0
augmented,sample_source,p5,Chi-square,251,2,4,0.6775357255009902,0.878474617547425,0.6775357255009902,3,0.05195522610791203,5.633466135458168,1.0
augmented,sample_source,p6,Chi-square,251,2,4,0.21702884832548452,0.974794543635166,0.21702884832548452,3,0.02940504661171259,4.828685258964144,1.0
augmented,sample_source,p7,Chi-square,251,2,4,0.29721703669024413,0.9605510281197677,0.29721703669024413,3,0.03441121358336345,12.071713147410359,1.0
augmented,sample_source,p8,Chi-square,251,2,4,0.19290095047240574,0.9787271087771311,0.19290095047240574,3,0.02772236792117504,2.414342629482072,1.0
augmented,sample_source,p9,Chi-square,251,2,4,1.7433838705520956,0.6273320282504735,1.7433838705520956,3,0.08334118113105372,9.254980079681275,1.0
augmented,sample_source,p10,Chi-square,251,2,4,0.46583927752381094,0.9263296595529729,0.46583927752381094,3,0.043080545221583354,4.426294820717131,1.0
